Descrizione Breve;Anno di Scoperta;Descrizione Lunga;Nome dell'Inventore;Paese di Origine
Vaccino;1796;Il vaccino è una preparazione biologica che fornisce immunità acquisita attiva contro una malattia specifica.;Edward Jenner;Regno Unito
Microscopio;1590;Strumento che permette di vedere oggetti troppo piccoli per essere visti ad occhio nudo.;Hans e Zacharias Jansen;Paesi Bassi
Teorema di Pitagora;-530;Fondamentale relazione matematica tra i lati di un triangolo rettangolo.;Pitagora;Grecia
Leggi di Newton;1687;Tre leggi fondamentali del moto che hanno gettato le basi per la meccanica classica.;Isaac Newton;Regno Unito
Macchina a vapore;1712;Invenzione cruciale che ha permesso il progresso dell'era industriale.;Thomas Newcomen;Regno Unito
Penicillina;1928;Primo antibiotico scoperto, ha rivoluzionato la medicina salvando milioni di vite.;Alexander Fleming;Regno Unito
Relatività Generale;1915;Teoria della gravitazione proposta da Einstein, fondamentale per la fisica moderna.;Albert Einstein;Germania
Computer;1946;Macchine elettroniche programmabili per elaborare dati e eseguire calcoli complessi.;John Presper Eckert, John W. Mauchly;Stati Uniti
DNA doppia elica;1953;Scoperta della struttura a doppia elica del DNA, fondamentale per la genetica.;James Watson, Francis Crick;Regno Unito
Teoria dei quanti;1900;Base della meccanica quantistica, descrive la natura a livelli subatomici.;Max Planck;Germania
Telescopio;1608;Strumento ottico che ingrandisce gli oggetti distanti, soprattutto nel campo astronomico.;Hans Lippershey;Paesi Bassi
Lampadina elettrica;1879;Dispositivo che emette luce quando un filamento viene riscaldato dall'elettricità.;Thomas Edison;Stati Uniti
Radio;1895;Tecnologia per la trasmissione e la ricezione di segnali attraverso onde radio.;Guglielmo Marconi;Italia
Transistor;1947;Componente elettronico fondamentale per amplificare e controllare correnti elettriche.;John Bardeen, Walter Brattain, William Shockley;Stati Uniti
Pila di Volta;1800;Prima batteria elettrica che produceva corrente continua.;Alessandro Volta;Italia
Laser;1960;Dispositivo che emette luce attraverso un processo di emissione stimolata.;Theodore H. Maiman;Stati Uniti
Magnetron;1940;Tubo che produce microonde, utilizzato in radar e forni a microonde.;John Randall, Harry Boot;Regno Unito
Internet;1969;Rete globale di computer per lo scambio di dati e comunicazioni.;ARPANET (Progetto di ricerca);Stati Uniti
GPS;1973;Sistema di navigazione satellitare per determinare la posizione geografica.;Dipartimento della Difesa degli Stati Uniti;Stati Uniti
Insulina;1921;Ormone utilizzato per trattare il diabete, essenziale per la regolazione della glicemia.;Frederick Banting, Charles Best;Canada
