Descrizione Breve                          ,Anno di Scoperta,Descrizione Lunga,Nome Inventore,Paese
 ⏳     Orologio a pendolo                         ,1656,"Orologio più accurato del suo tempo, utilizzando un pendolo per misurare il tempo.",Christiaan Huygens,Paesi Bassi
 ⏳⚔️   Inizio della Prima Guerra Mondiale         ,1914,Assassinio di Ferdinando scatena la Grande Guerra.,Francesco Ferdinando d'Austria,Austria-Ungheria
 ☢️     Radioattività                              ,1896,Fenomeno di emissione di particelle da materiali instabili.,Henri Becquerel,Francia
 ⚒️🛐   Riforma Protestante                        ,1517,Lutero e le 95 tesi iniziano la Riforma Protestante.,Martin Lutero,Sacro Romano Impero
 ⚔️     Battaglia di Ain Jalut                     ,1260,Mongoli fermati dai Mamelucchi.,Saif ad-Din Qutuz,Mongolia/Mamelucchi
 ⚔️     Battaglia di Hastings                      ,1066,"Normanni vincono, influenzano l'Inghilterra.",Guglielmo il Conquistatore,Inghilterra
 ⚔️     Battaglia di Lepanto                       ,1571,"Battaglia navale, vittoria su Ottomani.",Don Giovanni d'Austria,Mediterraneo
 ⚔️     Battaglia di Marathon                      ,-490,Battaglia cruciale nella prima guerra persiana.,Milziade,Grecia
 ⚔️     Battaglia di Poltava                       ,1709,Decisiva vittoria russa su Svezia.,Pietro il Grande,Russia
 ⚔️🇧🇪   Battaglia di Waterloo                      ,1815,Sconfitta di Napoleone e fine delle Guerre Napoleoniche.,Napoleone Bonaparte,Francia
 ⚡     Elettricità                                ,1600,Fenomeno fisico associato alla presenza e al flusso di carica elettrica.,William Gilbert,Regno Unito
 ⚡🗼   Pilastro di Elettricità Statica             ,1745,"Dispositivo per generare elettricità statica, fondamentale per gli studi sull'elettricità.",Ewald Georg von Kleist,Germania
 🇫🇷🔄  Inizio della Rivoluzione Francese          ,1789,Presa della Bastiglia e inizio della caduta della monarchia.,Luigi XVI di Francia,Francia
 🇮🇳     Indipendenza dell'India                   ,1947,Fine del dominio britannico sull'India.,Mahatma Gandhi,India
 🇮🇹     Unificazione dell'Italia                  ,1861,Vittorio Emanuele II diventa primo re dell'Italia unificata.,Vittorio Emanuele II,Italia
 🇺🇸🎉  Rivoluzione Americana                      ,1775,Inizio della formazione degli USA.,George Washington,Stati Uniti d'America
